Month/Year,Tmax (oC),Tmin (oC),AirFrost (Days),Rain (mm),Sun (Hours),Notes
Apr/1992,11.4,4.70,0.00,73.50,71.90,
May/1992,17.4,8.00,0.00,84.40,192.10,
Jun/1992,19.7,11.30,0.00,29.10,171.30,
Jul/1992,18.6,11.20,0.00,72.90,130.10,
Aug/1992,17.5,10.60,0.00,171.50,140.90,
Sep/1992,14.8,9.00,0.00,161.80,90.50,
Oct/1992,10.4,2.90,4.00,78.50,102.70,
Nov/1992,9.2,2.80,6.00,183.30,36.30,
Dec/1992,6.2,1.10,11.00,94.80,18.10,
Jan/1993,7.8,1.70,7.00,277.50,27.80,
Feb/1993,8.8,3.40,4.00,21.00,36.90,
Mar/1993,9.7,2.50,7.00,109.40,92.60,
Apr/1993,12.5,4.50,1.00,118.60,97.80,
May/1993,15,6.00,0.00,96.50,129.80,
Jun/1993,18,14.30,0.00,42.60,99.50,Air Frost and Tmin estimated
Jul/1993,17.4,14.00,0.00,62.90,112.00,Air Frost and Tmin estimated
Aug/1993,18,9.10,0.00,61.80,159.70
Sep/1993,15.9,7.90,0.00,73.90,115.50
Oct/1993,10.7,4.10,6.00,72.30,95.30
Nov/1993,6.7,1.80,13.00,100.80,45.80
Dec/1993,5.8,1.10,9.00,217.70,29.90
Jan/1994,6.6,1.70,7.00,193.70,32.50
Feb/1994,5.1,0.50,9.00,79.40,47.50
Mar/1994,8.9,3.20,0.00,217.90,88.10
Apr/1994,11.8,4.00,0.00,91.10,131.00
May/1994,15.2,6.10,0.00,12.70,186.40
Jun/1994,16.6,9.30,0.00,89.80,150.80
Jul/1994,20,12.10,0.00,68.70,145.00
Aug/1994,18.3,10.90,0.00,124.20,158.80
Sep/1994,15.3,8.40,0.00,55.20,115.10
Oct/1994,12.2,6.20,0.00,71.70,69.50
Nov/1994,11.4,7.40,0.00,141.70,39.20
Dec/1994,7.9,3.00,6.00,277.80,24.70
Jan/1995,6.6,0.80,12.00,181.50,55.70
Feb/1995,7.6,2.40,5.00,182.70,69.40
Mar/1995,8.1,1.70,8.00,104.20,100.30
Apr/1995,13.1,5.30,1.00,36.40,145.30
May/1995,15.9,6.80,0.00,63.10,170.40
Jun/1995,20.1,9.50,0.00,26.20,259.90
Jul/1995,20.9,12.40,0.00,106.00,183.40
Aug/1995,22.7,13.00,0.00,22.10,234.20
Sep/1995,16.7,9.50,0.00,128.30,111.60
Oct/1995,14.6,8.90,0.00,279.50,79.60
Nov/1995,9.9,4.70,2.00,70.20,56.70
Dec/1995,4,-1.10,14.00,41.00,49.20
Jan/1996,6.8,3.80,3.00,66.90,13.40
